language,family,code,average_edit_distance,sample_mean,sd,z
Ifaluk_Nuclear_Woleaian_,Austronesian,nucl1479,4.75,4.75225,0.06346859568036493,0.035450603182262626
Ifugaw_(Ifugao),Austronesian,ifug1247,5.0,5.0,0.0,0.0
Ili'uun,Austronesian,iliu1237,7.086956521739131,6.541739130434783,0.10415869761804811,-5.234487409814498
Ilokano,Austronesian,ilok1237,17.130434782608695,17.52341304347826,0.06982081571684731,5.628382550889365
Indonesian_Bajau,Austronesian,indo1317,6.760869565217392,6.961326086956522,0.07147834672178933,2.8044370208974527
Indonesian,Austronesian,indo1316,5.239130434782608,5.487782608695652,0.05212817699133032,4.770014764843941
Iraya,Austronesian,iray1237,6.173913043478261,5.977326086956522,0.034287499572816245,-5.733487684170379
Isnag,Austronesian,isna1241,9.891304347826088,8.548913043478262,0.24747409317266106,-5.4243710407749575
Itbayat,Austronesian,ivat1242,9.41304347826087,10.026978260869566,0.11396862940880298,5.386875193580909
Itneg_(Binongan),Austronesian,bino1237,11.714285714285714,11.714285714285714,0.0,0.0
Javanese,Austronesian,java1254,23.91304347826087,23.078978260869565,0.4160932383684072,-2.004515191503371
Kadai,Austronesian,kada1286,3.1666666666666665,3.1676666666666664,0.18414100007306333,0.0054306210979798665
Kalinga_(Ahin-Kayapa_Kalanguya),Austronesian,ahin1234,6.1521739130434785,6.882195652173913,0.12501513993286414,5.839466639980345
Kambera,Austronesian,kamb1299,6.043478260869565,6.146521739130435,0.1390749334395429,0.7409205649964482
Kankanaey_(Kankanai),Austronesian,kank1243,8.152173913043478,8.998434782608696,0.1471670807043028,5.750340806620857
Kankanay,Austronesian,nort2877,8.375,8.375,0.0,0.0
Kapingamarangi,Austronesian,kapi1249,3.5,3.5,0.0,0.0
Kapingamarangi,Austronesian,kapi1249a,7.673913043478261,7.699130434782608,0.11066971825617812,0.227861710517546
Kei,Austronesian,keii1239,1.4166666666666667,1.6891041666666666,0.17665508508123187,1.5422001572993163
Kilivila,Austronesian,kili1267,3.2857142857142856,3.2857142857142856,0.0,0.0
Kiput,Austronesian,kipu1237,6.956521739130435,8.592478260869566,0.27407727515665026,5.968960837063532
Kodeoha,Austronesian,kode1237,2.7857142857142856,2.7857142857142856,0.0,0.0
Kodi,Austronesian,kodi1247,4.666666666666667,4.666666666666667,0.0,0.0
Konawe,Austronesian,kona1243,2.7857142857142856,2.7857142857142856,0.0,0.0
Koroni,Austronesian,koro1311,3.642857142857143,3.642857142857143,0.0,0.0
Kuanua,Austronesian,kuan1248,3.282608695652174,3.5641521739130435,0.12053625912899432,2.3357575578944276
Kulisusu,Austronesian,kuli1254,5.3478260869565215,5.114847826086956,0.06527507205380154,-3.5691766173392807
Kwaio,Austronesian,kwai1243,10.5,10.5,0.0,0.0
Kwamera,Austronesian,kwam1252,9.521739130434783,9.609478260869565,0.1990009315227655,0.4408980890863058
Laiwui,Austronesian,laiw1239,3.5,3.5,0.0,0.0
Lalomerui,Austronesian,lalo1239,2.7857142857142856,2.7857142857142856,0.0,0.0
Lamogai,Austronesian,lamo1244,4.357142857142857,4.357142857142857,0.0,0.0
Landewe,Austronesian,land1259,4.142857142857143,4.142857142857143,0.0,0.0
Larevat,Austronesian,lare1249,5.366666666666666,5.671433333333334,0.2582905203095357,1.1799374839674128
Lauje,Austronesian,lauj1238,21.869565217391305,26.024108695652174,0.715814253509644,5.803940698150538
Lau_Fijian,Austronesian,laua1243,6.666666666666667,6.477979166666667,0.10064265737090372,-1.8748262906514908
Lau,Austronesian,lauu1247,9.285714285714286,9.285714285714286,0.0,0.0
Lavatbura-lamusong_(Konobin),Austronesian,lava1239,4.5,4.129833333333333,0.713529713768255,-0.5187824130150972
Lelepa,Austronesian,lele1267,9.76086956521739,9.695739130434783,0.22058410059696829,-0.29526350542194607
Lenakel,Austronesian,lena1238,4.071428571428571,4.071428571428571,0.0,0.0
Letemboi-Repanbitip,Austronesian,lete1241,5.0,5.0,0.0,0.0
Lewo,Austronesian,lewo1242,3.357142857142857,3.357142857142857,0.0,0.0
Lo-Toga_(Loh),Austronesian,loto1240,6.3478260869565215,6.324391304347826,0.06863468636169183,-0.34144226266582267
Loniu,Austronesian,loni1238,12.0,12.151714285714284,0.052642768325529034,2.8819587293761435
