language,family,code,correlation,mean,sd,z
Wangkajunga,Pama-Nyungan,wang1288,-0.13108217577339015,-0.0005266187057359852,0.016539488618645952,-7.893566728566874
Wangkangurru,Pama-Nyungan,wang1290,-0.1420460247994699,0.0002129598447585298,0.027572226009838052,-5.159503066363556
Wangkangurru,Pama-Nyungan,wang1290a,-0.21844399110614318,-0.003144569632490179,0.05454309680821024,-3.947326684267852
Wangkumara,Pama-Nyungan,wong1246,0.03433112766353531,-0.0020716662999503243,0.05003204383650533,0.727589584036236
Warlmanpa,Pama-Nyungan,warl1255,-0.11621560352680974,-0.0003579474023533698,0.028003563984803848,-4.137246822844642
Warlpiri,Pama-Nyungan,warl1254,-0.05444848327231448,9.517545991449223e-05,0.015994130245155943,-3.410229746550196
Warlpiri,Pama-Nyungan,warl1254a,-0.07410072628126609,0.0004990718964669052,0.017337192414746683,-4.30287652078429
Warnman,Pama-Nyungan,wanm1242,-0.10489398173591322,0.0009083460432023514,0.02368295376495015,-4.467446452380399
Warrnambool,Pama-Nyungan,warr1257,-0.03484722126371616,-0.0007715627506411919,0.03667547589859823,-0.9291129202328188
Warumungu,Pama-Nyungan,waru1265,-0.06522443680302917,0.0008479303096574811,0.022821296371270876,-2.895206566611325
Warungu,Pama-Nyungan,waru1264,-0.07437963216526555,0.001853987938276335,0.03673599365520627,-2.0751751216817285
Wathwurrung,Pama-Nyungan,wath1238,-0.037503127761352076,-0.0004725889832251088,0.037226717228882066,-0.9947301705506578
WikMungkan,Pama-Nyungan,wikm1247,-0.009756346768877197,0.00036187212330392085,0.027502287288827282,-0.36790463229186077
Wiradjuri,Pama-Nyungan,wira1262,-0.09417115997792574,2.3348610442622707e-05,0.016375206431203233,-5.752263886510715
Wirangu,Pama-Nyungan,wira1265,-0.05863931822723592,0.0006170870556505462,0.019397568793605997,-3.054836712445072
Woiwurrung,Pama-Nyungan,woiw1237,-0.12091999704127512,0.0014091163430158377,0.050078156161944914,-2.4427639266249694
Wulguru,Pama-Nyungan,wulg1239,-0.09256888264184909,0.0005736225064284085,0.016391914766281483,-5.6822223929490905
Yadhaykenu,Pama-Nyungan,yadh1237,-0.0020086192129381807,0.0009556553707942648,0.03788843886707626,-0.07823691533272165
